data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2024-03-31,202414,20888.5,9812,,3905,0.0,171.21469,0,4,355030820241419821,2024-04-08,0.0,0.47961885,12200180.0,20.7142857142857,82.0760761428571,1,0,2,77.9704031428571,69.9173762857143,21.3690477142857,22.7142857142857,,,,,,372937
2024-03-24,202413,32131.5,26995,,23292,0.0,263.36908,0,4,355030820241319821,2024-04-08,0.0,0.6940636,12200180.0,19.0416666666667,89.9893957916667,1,0,2,88.8071457916667,88.253755,19.1805556666667,19.2083333333333,,,,,,372937
2024-03-17,202412,51202.5,48512,,45634,1.0,419.68643,0,4,355030820241219821,2024-04-08,0.0,1.1814549,12200180.0,23.7142857142857,81.9362391428571,1,1,2,79.5661918571429,76.9668668571429,23.9761905714286,24.2857142857143,,,,,,372937
2024-03-10,202411,48171.5,46480,,44563,1.0,394.84253,0,4,355030820241119821,2024-04-08,0.0,1.261139,12200180.0,23.1111111111111,79.4867508444444,1,1,2,78.8900851777778,78.2869318444444,23.4155555555556,23.6888888888889,,,,,,372937
2024-03-03,202410,44280.5,43255,,42095,1.0,362.94955,0,4,355030820241019821,2024-04-08,0.0,1.3677378,12200180.0,21.8666666666667,87.9625218666667,1,1,2,87.0249294444444,85.8240193777778,21.9377777777778,21.9555555555556,,,,,,372937
2024-02-25,202409,38700.0,38131,,37493,1.0,317.20844,0,4,355030820240919821,2024-04-08,0.0,1.4701757,12200180.0,23.2916666666667,82.1888295416667,1,1,2,81.5072850416667,80.82574025,23.3645833333333,23.4375,,,,,,372937
2024-02-18,202408,32762.0,32469,,32160,1.0,268.53702,0,4,355030820240819821,2024-04-08,0.0,1.6175411,12200180.0,21.0208333333333,89.74040125,1,1,2,88.1439720833333,86.18189375,21.09375,21.1666666666667,,,,,,372937
2024-02-11,202407,26328.0,26186,,26067,1.0,215.8001,0,4,355030820240719821,2024-04-08,0.0,1.8653424,12200180.0,21.3061224489796,84.6217816938776,1,1,2,81.6001730612245,78.5785671428571,21.9285714285714,22.5510204081633,,,,,,372937
2024-02-04,202406,20643.5,20577,,20535,1.0,169.20651,0,4,355030820240619821,2024-04-08,0.0,2.3785727,12200180.0,22.1333333333333,79.6076911555556,1,1,2,78.6573504888889,77.7070153777778,22.2111111111111,22.2888888888889,,,,,,372937
2024-01-28,202405,14377.0,14359,,14353,1.0,117.84252,0,4,355030820240519821,2024-04-08,0.0,2.7815711,12200180.0,20.875,82.8574224166667,1,1,2,79.9624607083333,76.8108515833333,21.0694445416667,21.3125,,,,,,372937
2024-01-21,202404,7033.0,7033,7033.0,7033,1.0,57.64669,0,4,355030820240419821,2024-04-08,0.0,2.1127636,12200180.0,18.2291666666667,90.655414375,1,1,2,89.8200161458333,88.9919489583333,18.277777875,18.375,,,,,,372937
2024-01-14,202403,4566.0,4566,4566.0,4566,1.0,37.42568,0,4,355030820240319821,2024-04-08,0.0,2.068281,12200180.0,23.5111111111111,82.0155726,1,1,2,80.3151331777778,78.6171941333333,23.7629630666667,24.0666666666667,,,,,,372937
2024-01-07,202402,3043.0,3043,3043.0,3043,1.0,24.942255,0,4,355030820240219821,2024-04-08,0.0,2.2264743,12200180.0,22.6363636363636,80.3886825227273,1,1,2,78.3776565909091,76.3666293181818,23.0681818181818,23.5,,,,,,372937
2023-12-31,202401,2380.0,2380,2380.0,2380,1.0,19.50791,0,2,355030820240119821,2024-04-08,0.0,2.4729164,12200180.0,20.0212765957447,84.8533344680851,1,1,2,84.0519549574468,83.2505757446809,20.0212765957447,20.0212765957447,,,,,,372937
2023-12-24,202352,938.0,938,938.0,938,0.80664164,7.688411,0,2,355030820235219821,2024-04-08,0.0,1.0411911,12200180.0,23.0566037735849,72.7691343584906,1,0,1,65.111746,59.9111776603774,24.688679245283,25.7547169811321,,,,,,372937
2023-12-17,202351,816.0,816,816.0,816,0.011030379,6.688426,0,2,355030820235119821,2024-04-08,0.0,0.8956273,12200180.0,21.4905660377358,80.9376527735849,1,0,1,75.2405863773585,68.906129,22.5733754716981,23.6981132075472,,,,,,372937
2023-12-10,202350,938.0,938,938.0,938,0.9292912,7.688411,0,3,355030820235019821,2024-04-08,0.0,1.0715109,12200180.0,19.625,85.1167883214286,1,0,1,78.3064034821429,68.9101191607143,21.4910714285714,23.25,,,,,,372937
2023-12-03,202349,931.0,931,931.0,931,0.9991642,7.631035,0,3,355030820234919821,2024-04-08,0.0,1.1632967,12200180.0,18.5,91.099905,1,1,1,78.407325,63.059732,21.8611105,24.5,,,,,,372937
2023-11-26,202348,921.0,921,921.0,921,0.99999654,7.549069,0,3,355030820234819821,2024-04-08,0.0,1.2478746,12200180.0,20.6666666666667,,1,1,1,,,,,,,,,,372937
2023-11-19,202347,789.0,789,789.0,789,0.98303896,6.467118,0,2,355030820234719821,2024-04-08,0.0,1.115972,12200180.0,22.8333333333333,,1,1,1,,,,,,,,,,372937
2023-11-12,202346,699.0,699,699.0,699,0.5462893,5.7294235,0,2,355030820234619821,2024-04-08,0.0,1.0062478,12200180.0,25.0,68.9779514,1,0,1,67.984248,66.9905456,25.1,25.2,,,,,,372937
2023-11-05,202345,748.0,748,748.0,748,0.8626887,6.1310573,0,2,355030820234519821,2024-04-08,0.0,1.0589621,12200180.0,18.4222222222222,79.0184796666667,1,0,1,74.6636033111111,68.7736477555556,19.1888889777778,20.3333333333333,,,,,,372937
2023-10-29,202344,632.0,632,632.0,632,0.01192104,5.1802516,0,1,355030820234419821,2024-04-08,0.0,0.88406765,12200180.0,21.2941176470588,86.7229964705882,1,0,1,81.842323745098,75.6395260588235,22.2205882352941,23.9803921568627,,,,,,372937
2023-10-22,202343,754.0,754,754.0,754,0.6948478,6.180237,0,1,355030820234319821,2024-04-08,0.0,1.0267662,12200180.0,19.3653846153846,85.9158974230769,1,0,1,83.4016253846154,78.0956655961539,19.9443980384615,21.2307692307692,,,,,,372937
2023-10-15,202342,707.0,707,707.0,707,0.08643307,5.7949963,0,1,355030820234219821,2024-04-08,0.0,0.93127805,12200180.0,17.5294117647059,90.3620037254902,0,0,1,86.1584660784314,79.9759891176471,18.1323529411765,19.2745098039216,,,,,,372937
2023-10-08,202341,691.0,691,691.0,691,0.060085796,5.663851,0,1,355030820234119821,2024-04-08,0.0,0.92137426,12200180.0,17.6415094339623,89.7431599056604,0,0,1,88.711110754717,87.5537603773585,18.2908803773585,19.0188679245283,,,,,,372937
2023-10-01,202340,849.0,849,849.0,849,0.99949616,6.958914,0,2,355030820234019821,2024-04-08,0.0,1.1809707,12200180.0,19.8983050847458,88.2729685084746,1,1,1,82.9792332372881,75.8584678305085,21.1737288135593,22.9152542372881,,,,,,372937
2023-09-24,202339,702.0,702,702.0,702,0.87447196,5.7540135,0,3,355030820233919821,2024-04-08,0.0,1.0641811,12200180.0,21.2142857142857,81.7109415714286,1,0,1,75.8347237619048,65.3175468809524,22.2261904761905,24.6428571428571,,,,,,372937
